# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	63164
#@/user_id	4232a789-02e2-4ed5-b0bb-ca190859e4b9
a 	啊	c=208 d=0.826959 t=63164
liu 	流	c=1 d=0.1 t=60732
liu 	溜	c=1 d=1.17184e-42 t=63164
liu 	留	c=5 d=3.41705e-16 t=63164
liu chang 	流暢	c=4 d=1.17775e-13 t=63164
liu cheng 	流程	c=2 d=4.2374e-39 t=63164
liu chuan feng 	劉川楓	c=1 d=7.31927e-06 t=63164
liu cun 	留存	c=1 d=1.11871e-55 t=63164
liu dian 	留點	c=1 d=1.37189e-14 t=63164
liu ge 	留個	c=2 d=3.74457e-34 t=63164
liu ge xin yan 	留個心眼	c=1 d=3.76334e-33 t=63164
liu ji 	六級	c=5 d=1.14867e-13 t=63164
liu kong 	留空	c=1 d=8.01537e-16 t=63164
liu lan 	瀏覽	c=2 d=0.0448245 t=63164
liu lan liang 	瀏覽量	c=1 d=5.19779e-38 t=63164
liu lan qi 	瀏覽器	c=14 d=2.07718e-10 t=63164
liu lang 	流浪	c=1 d=3.54781e-45 t=63164
liu li 	流利	c=1 d=8.15314e-40 t=63164
liu liang 	流量	c=2 d=9.42566e-11 t=63164
liu mang 	流氓	c=1 d=1 t=62991
liu nian ji 	六年級	c=1 d=2.86602e-05 t=63164
liu qiu 	琉球	c=1 d=0.0017555 t=63164
liu xia 	留下	c=1 d=6.13879e-25 t=63164
liu xian dong 	留仙洞	c=3 d=1.06209e-14 t=63164
liu xing 	流行	c=2 d=4.04886e-11 t=63164
liu xing yu 	流行於	c=1 d=1 t=56359
liu xue 	留學	c=2 d=1.51798e-28 t=63164
liu xue sheng 	留學生	c=4 d=2.50865e-15 t=63164
liu yan 	留言	c=2 d=1.46428e-16 t=63164
liu yi 	留意	c=1 d=9.9258e-31 t=63164
liu zhi 	留置	c=1 d=2.28213e-57 t=63164
liu zhi quan 	留置權	c=8 d=1.38634e-57 t=63164
liu zhi quan ren 	留置權人	c=2 d=1.84153e-56 t=63164
liu zhi wu 	留置物	c=1 d=2.15926e-56 t=63164
liu zhuan 	流轉	c=2 d=0.383279 t=63164
lo 	咯	c=16 d=0.579842 t=63164
long 	攏	c=1 d=2.29772e-08 t=63164
long gang 	龍崗	c=1 d=3.03849e-16 t=63164
long ge 	龍哥	c=3 d=1.74428e-41 t=63164
long hua 	龍華	c=7 d=4.33928e-18 t=63164
lou 	樓	c=3 d=1.61828e-16 t=63164
lou 	露	c=1 d=1.92109e-34 t=63164
lou ceng 	樓層	c=0 d=0.1 t=63083
lou ceng shu 	樓層數	c=1 d=1 t=63084
lou chu 	露出	c=1 d=7.12619e-15 t=63164
lou dong 	漏洞	c=2 d=2.62129e-07 t=63164
lou shang 	樓上	c=1 d=1.2328e-21 t=63164
lou shuo 	漏說	c=1 d=5.09416e-07 t=63164
lou xia 	樓下	c=1 d=0.000953854 t=63164
lu 	路	c=8 d=7.10295e-06 t=63164
lu 	錄	c=2 d=2.19652e-22 t=63164
lu bian 	路邊	c=1 d=7.371e-30 t=63164
lu cheng 	路程	c=1 d=1.2877e-63 t=63164
lu guo 	路過	c=2 d=8.2932e-60 t=63164
lu jing 	路徑	c=6 d=8.23721e-09 t=63164
lu jing ming 	路徑名	c=1 d=1.11222e-16 t=63164
lu kou 	路口	c=1 d=3.87466e-23 t=63164
lu ren 	路人	c=1 d=4.9332e-41 t=63164
lu ru 	錄入	c=1 d=1 t=60553
lu shang 	路上	c=11 d=0.0510474 t=63164
lu xian 	路線	c=2 d=2.16794e-15 t=63164
lu you 	路由	c=1 d=1 t=57643
luan 	亂	c=8 d=0.0153752 t=63164
luan 	卵	c=3 d=0.449936 t=63164
luan ma 	亂麻	c=1 d=5.08517e-45 t=63164
luan qi ba zao 	亂七八糟	c=2 d=3.71059e-14 t=63164
luan shi 	亂世	c=0 d=8.17034e-07 t=63164
luan shuo 	亂說	c=1 d=6.75999e-12 t=63164
luan yong 	卵用	c=1 d=6.6329e-24 t=63164
lun 	輪	c=1 d=4.71533e-39 t=63164
lun tai 	輪胎	c=2 d=5.10822e-10 t=63164
lun tan 	論壇	c=4 d=5.13382e-10 t=63164
lun wen 	論文	c=2 d=7.36347e-18 t=63164
luo 	羅	c=2 d=0.00194986 t=63164
luo 	裸	c=1 d=5.64431e-37 t=63164
luo ben 	裸奔	c=1 d=5.67454e-41 t=63164
luo hu 	羅湖	c=4 d=1.79866e-24 t=63164
luo hu qu 	羅湖區	c=1 d=9.22929e-28 t=63164
luo ji 	邏輯	c=3 d=7.15703e-07 t=63164
luo li 	蘿莉	c=1 d=9.31282e-15 t=63164
luo lie 	羅列	c=2 d=2.13809e-49 t=63164
luo pan 	羅盤	c=1 d=4.89593e-40 t=63164
luo suo 	囉嗦	c=1 d=6.52415e-06 t=63164
luo suo yi ju 	囉嗦一句	c=1 d=1 t=57279
lv 	率	c=0 d=5.26093e-34 t=63164
lv kao 	律考	c=1 d=1.11336e-28 t=63164
lv mao zi 	綠帽子	c=1 d=1.40514e-31 t=63164
lv ren 	旅人	c=0 d=2.87433e-40 t=63164
lv se 	綠色	c=3 d=2.8167 t=55132
lv shi 	律師	c=25 d=0.00314251 t=63164
lv shi shi wu suo 	律師事務所	c=1 d=2.1235e-36 t=63164
lv suo 	律所	c=13 d=4.72977e-27 t=63164
lv suo 	率所	c=1 d=2.24547e-46 t=63164
lv xing 	履行	c=1 d=0.0179066 t=63164
lv xing 	旅行	c=1 d=1.864e-32 t=63164
lv xing qi xian 	履行期限	c=15 d=4.44034e-36 t=63164
lv you 	旅遊	c=1 d=3.22638e-16 t=63164
lv zheng 	律政	c=1 d=2.67309e-38 t=63164
lve 	略	c=6 d=5.93389e-08 t=63164
lve fan 	略繁	c=1 d=1 t=57149
lve xie tu 	略寫圖	c=1 d=8.74729e-44 t=63164
ma 	嗎	c=138 d=1.51062 t=63164
ma 	嘛	c=43 d=0.000610041 t=63164
ma 	媽	c=7 d=0.377192 t=63164
ma 	罵	c=1 d=0.000833397 t=63164
ma 	馬	c=1 d=2.18593e-24 t=63164
ma bi 	麻痹	c=3 d=8.46857e-16 t=63164
ma chu 	碼畜	c=1 d=1 t=56805
ma da 	馬達	c=1 d=1.86622e-46 t=63164
ma de 	媽的	c=7 d=0.71177 t=63164
ma er 	馬爾	c=0 d=0.1 t=61195
ma er zha ha 	馬爾扎哈	c=1 d=1 t=61196
ma fan 	麻煩	c=14 d=0.265803 t=63164
ma hou pao 	馬後炮	c=1 d=1.04706e-41 t=63164
ma jia 	馬甲	c=1 d=1.80209e-17 t=63164
ma kan cun 	麻磡村	c=1 d=1.4071e-18 t=63164
ma ke 	馬克	c=0 d=2.86651e-08 t=63164
ma ke bei 	馬克杯	c=1 d=0.000131698 t=63164
ma ke zha ke bo ge 	馬克扎克伯格	c=1 d=2.88088e-07 t=63164
ma li 	麻利	c=1 d=1.11241e-18 t=63164
ma lu 	馬路	c=1 d=7.94508e-30 t=63164
ma ma 	媽媽	c=2 d=5.03543e-47 t=63164
ma mu 	麻木	c=2 d=1.93239 t=61580
ma pi 	馬屁	c=1 d=1.22703e-54 t=63164
ma pi 	麻批	c=1 d=4.22056e-29 t=63164
ma shang 	馬上	c=6 d=0.000505481 t=63164
ma yi 	螞蟻	c=2 d=4.48383e-36 t=63164
ma yi hua bei 	螞蟻花唄	c=9 d=4.87581e-21 t=63164
ma yi ju bao 	螞蟻聚寶	c=1 d=4.50631e-35 t=63164
ma yun 	馬雲	c=5 d=0.628135 t=63164
ma yun de 	馬雲的	c=1 d=1.6632e-44 t=63164
mai 	買	c=67 d=0.00429464 t=63164
mai 	賣	c=19 d=0.110803 t=63164
mai ba 	買爸	c=1 d=1 t=61550
mai ben shu 	買本書	c=1 d=1.62412e-29 t=63164
mai bu qi 	買不起	c=3 d=1.10307e-07 t=63164
mai cai 	買菜	c=1 d=1.41733e-15 t=63164
mai che 	買車	c=1 d=1.89249e-34 t=63164
mai chu 	賣出	c=1 d=2.70547e-62 t=63164
mai dan 	買單	c=1 d=2.11693e-29 t=63164
mai dang lao 	麥當勞	c=8 d=2.2966 t=63164
mai dao 	買到	c=1 d=0.0432828 t=63164
mai dian 	買點	c=1 d=8.91186e-28 t=63164
mai dian 	賣點	c=3 d=0.000434101 t=63164
mai dong xi 	買東西	c=1 d=4.13066e-11 t=63164
mai fang 	買房	c=2 d=5.4161e-42 t=63164
mai ge 	買個	c=9 d=0.0071201 t=63164
mai gei 	賣給	c=1 d=9.37645e-67 t=63164
mai jia 	賣家	c=1 d=0.0023344 t=63164
mai ke 	邁克	c=1 d=5.56709e-22 t=63164
mai ke 	麥克	c=0 d=5.59499e-23 t=63164
mai ke shu shu 	麥克叔叔	c=1 d=5.62304e-22 t=63164
mai kong 	賣空	c=1 d=1.8364e-62 t=63164
mai le 	買了	c=3 d=1.3138e-05 t=63164
mai mai 	買賣	c=4 d=5.14432e-35 t=63164
mai mai bu po zu lin 	買賣不破租賃	c=1 d=5.17011e-34 t=63164
mai rou 	賣肉	c=1 d=6.52748e-12 t=63164
mai ru 	買入	c=6 d=0.0441572 t=63164
mai shou ren 	買受人	c=1 d=1.80418e-60 t=63164
mai shu 	買書	c=2 d=6.16012e-07 t=63164
mai shu 	麥叔	c=2 d=4.42231e-18 t=63164
mai tai 	買台	c=1 d=7.84146e-52 t=63164
mai wan 	賣完	c=1 d=1.13427e-41 t=63164
mai yi mai 	賣一賣	c=1 d=2.26264e-18 t=63164
mai zhe ge 	買這個	c=1 d=1 t=61547
man 	慢	c=2 d=1.5016e-18 t=63164
man 	滿	c=1 d=2.17695e-05 t=63164
man 	蠻	c=40 d=7.17488e-05 t=63164
man cheng 	滿城	c=1 d=3.94327e-53 t=63164
man dao 	慢到	c=0 d=1.73827e-35 t=63164
man dao si 	慢到死	c=1 d=1.74699e-34 t=63164
man duo 	滿舵	c=1 d=3.3075e-14 t=63164
man duo 	蠻多	c=1 d=3.32407e-14 t=63164
man fen 	滿分	c=1 d=1.9854e-39 t=63164
man hua 	漫畫	c=1 d=9.07584e-66 t=63164
man huo 	蠻火	c=1 d=1.33089e-10 t=63164
man jing tou 	慢鏡頭	c=1 d=0.075774 t=63164
man man 	慢慢	c=2 d=2.60886e-46 t=63164
man man lai 	慢慢來	c=1 d=4.8783e-27 t=63164
man ping 	滿評	c=1 d=3.78555e-14 t=63164
man shi 	滿是	c=1 d=3.53865e-44 t=63164
man yi 	滿意	c=1 d=1.12784e-33 t=63164
man zou 	慢走	c=1 d=3.99334e-25 t=63164
man zu 	滿足	c=10 d=0.985112 t=63164
mang 	忙	c=2 d=0.191092 t=63164
mang da 	盲打	c=1 d=1.20232e-50 t=63164
mang hu 	忙乎	c=1 d=7.48773e-09 t=63164
mang mu 	盲目	c=1 d=5.83046e-07 t=63164
mao 	冒	c=1 d=2.8272e-22 t=63164
mao 	毛	c=2 d=4.28945e-43 t=63164
mao 	貓	c=2 d=3.25052e-15 t=63164
mao 	錨	c=1 d=2.7005e-11 t=63164
mao bing 	毛病	c=0 d=0.1 t=62968
mao deng hao zi 	貓等耗子	c=1 d=1.33848e-18 t=63164
mao dun 	矛盾	c=2 d=0.000241172 t=63164
mao hao 	冒號	c=1 d=1.01143e-16 t=63164
mao lian 	貓臉	c=1 d=2.9709e-08 t=63164
mao liang 	貓糧	c=1 d=1 t=56719
mao pao 	冒泡	c=3 d=2.65832 t=60190
mao si 	貌似	c=3 d=0.0172029 t=63164
mao tai 	茅臺	c=2 d=6.46803e-22 t=63164
mao xian 	冒險	c=1 d=2.65235e-64 t=63164
mao yi 	貿易	c=1 d=0.0065062 t=63164
mao yi dian feng xian 	冒一點風險	c=1 d=2.84137e-21 t=63164
mao yi zhan 	貿易戰	c=1 d=0.00628242 t=63164
mao zhe 	冒着	c=1 d=8.43925e-34 t=63164
mao zi 	帽子	c=1 d=5.57296e-05 t=63164
me 	麼	c=5 d=1.22498e-05 t=63164
me me 	麼麼	c=0 d=5.06256e-23 t=63164
me me da 	麼麼噠	c=1 d=5.08793e-22 t=63164
mei 	妹	c=1 d=1.89939e-19 t=63164
mei 	枚	c=1 d=2.9833e-65 t=63164
mei 	每	c=3 d=2.69628e-22 t=63164
mei 	沒	c=123 d=0.64466 t=63164
mei 	美	c=2 d=1.03703e-16 t=63164
mei bi 	沒比	c=1 d=1 t=61308
mei bi yao 	沒必要	c=3 d=1 t=61339
mei bian 	沒變	c=1 d=1 t=61467
mei che 	沒車	c=1 d=1.59907e-52 t=63164
mei chuan 	沒穿	c=1 d=3.77513e-11 t=63164
mei ci 	每次	c=10 d=1.14512e-06 t=63164
mei dai 	沒帶	c=0 d=2.34475e-56 t=63164
mei dai qian 	沒帶錢	c=1 d=2.35651e-55 t=63164
mei dao 	每到	c=2 d=1.79852 t=56383
mei deng lu 	沒登錄	c=2 d=1.53512e-13 t=63164
mei fa 	沒法	c=3 d=3.13806e-13 t=63164
mei fan ying 	沒反映	c=1 d=1.1584e-24 t=63164
mei fen 	每份	c=1 d=2.31992e-18 t=63164
mei ge 	每個	c=26 d=0.0066715 t=63164
mei ge ren 	每個人	c=6 d=5.14572e-07 t=63164
mei ge yue 	每個月	c=17 d=1.06279 t=63164
mei gei 	沒給	c=2 d=3.00202e-21 t=63164
mei gong she ji 	美工設計	c=1 d=1.21635e-10 t=63164
mei gu 	每股	c=1 d=4.96553e-59 t=63164
mei gu 	美股	c=3 d=1.51113e-55 t=63164
mei guan 	美觀	c=1 d=2.12942e-10 t=63164
mei guan xi 	沒關係	c=2 d=2.85095e-17 t=63164
mei guo 	沒過	c=3 d=0.600496 t=63164
mei guo 	美國	c=13 d=0.00189223 t=63164
mei guo ren 	美國人	c=1 d=3.35623e-39 t=63164
mei hao 	美好	c=4 d=3.14994e-28 t=63164
mei hua 	美化	c=7 d=1.64723e-10 t=63164
mei hui 	沒回	c=1 d=1.5837e-56 t=63164
mei ji hui 	沒機會	c=3 d=8.40185e-16 t=63164
mei jia 	每家	c=1 d=9.53955e-64 t=63164
mei jia 	美嘉	c=3 d=1 t=59351
mei jin 	沒勁	c=2 d=2.63015e-24 t=63164
mei jin 	美金	c=1 d=4.31169e-45 t=63164
mei ju 	美劇	c=11 d=2.05784e-05 t=63164
mei kan chu lai 	沒看出來	c=1 d=1.34982e-29 t=63164
mei kao 	沒考	c=1 d=6.15343e-53 t=63164
mei lai 	沒來	c=1 d=2.75066e-51 t=63164
mei lin 	梅林	c=0 d=1.57067e-48 t=63164
mei luan wei 	沒卵味	c=1 d=2.15149e-43 t=63164
mei mao bing 	沒毛病	c=1 d=1 t=62969
mei mei 	妹妹	c=2 d=1.3587e-19 t=63164
mei ne 	沒呢	c=1 d=2.08755e-41 t=63164
mei neng 	沒能	c=1 d=8.64259e-20 t=63164
mei nian 	每年	c=4 d=3.91343e-29 t=63164
mei nv 	美女	c=22 d=0.0114726 t=63164
mei pai 	美拍	c=1 d=8.51364e-49 t=63164
mei pian 	每篇	c=2 d=5.35535e-07 t=63164
mei qian 	沒錢	c=12 d=0.759572 t=63164
mei qu 	沒去	c=2 d=4.87084e-09 t=63164
mei ren 	沒人	c=6 d=0.000198445 t=63164
mei ri 	每日	c=2 d=6.57149e-61 t=63164
mei sha 	沒啥	c=10 d=0.000808641 t=63164
mei sha hua 	沒啥話	c=1 d=1.51824e-30 t=63164
mei sha yong 	沒啥用	c=1 d=1 t=61535
mei shao nv 	美少女	c=1 d=1 t=58367
mei shen me 	沒什麼	c=3 d=1.98958e-05 t=63164
mei shen me yong 	沒什麼用	c=1 d=8.06653e-32 t=63164
mei shi 	沒事	c=11 d=0.000405658 t=63164
mei shi 	美式	c=1 d=1 t=56239
mei shi ying yu 	美式英語	c=1 d=1.575e-50 t=63164
mei shou 	每手	c=1 d=3.62379e-59 t=63164
mei shui 	沒誰	c=1 d=8.51102e-16 t=63164
mei shuo 	沒說	c=2 d=3.73237e-24 t=63164
mei si 	沒死	c=1 d=1.40419e-23 t=63164
mei tian 	每天	c=17 d=1.88399e-06 t=63164
mei tiao 	每條	c=1 d=9.73454e-08 t=63164
mei tu 	美圖	c=1 d=6.46693e-20 t=63164
mei tuan 	美團	c=11 d=1.32924e-14 t=63164
mei wan 	每晚	c=1 d=0.650509 t=63164
mei wen 	沒問	c=1 d=1.48404e-56 t=63164
mei wen ti 	沒問題	c=3 d=0.000678728 t=63164
mei xi 	沒戲	c=1 d=3.47105e-23 t=63164
mei xiang 	沒想	c=1 d=1.13504e-49 t=63164
mei xiong 	美胸	c=1 d=3.71818e-38 t=63164
mei xue 	沒學	c=1 d=4.14064e-10 t=63164
mei yi 	每一	c=0 d=6.38529e-11 t=63164
mei yi ge 	每一個	c=1 d=1.9575e-49 t=63164
mei yi ju 	每一句	c=2 d=1.1222e-09 t=63164
mei yi ju hua 	每一句話	c=1 d=1.10059e-10 t=63164
mei yi shou ge 	每一首歌	c=1 d=4.92382e-48 t=63164
mei yi si 	沒意思	c=4 d=6.5297e-16 t=63164
mei yong 	沒用	c=4 d=0.000409735 t=63164
mei you 	沒有	c=200 d=1.22988 t=63164
mei you ba 	沒有吧	c=1 d=2.4889e-51 t=63164
mei you bi yao 	沒有必要	c=0 d=0.000398587 t=63164
mei you cuo 	沒有錯	c=2 d=4.87498e-19 t=63164
mei you fa 	沒有法	c=1 d=8.24517e-25 t=63164
mei you men mian 	沒有門面	c=1 d=2.4894e-24 t=63164
mei you qian 	沒有錢	c=1 d=1.62241e-46 t=63164
mei you ren 	沒有人	c=1 d=0.000194515 t=63164
mei you yong 	沒有用	c=1 d=1 t=55605
mei yu 	沒雨	c=1 d=1.27497e-05 t=63164
mei yu dao 	沒遇到	c=1 d=5.51245e-53 t=63164
mei yuan 	美元	c=3 d=6.1837e-66 t=63164
mei zhe 	沒轍	c=2 d=1.49102e-23 t=63164
mei zhou 	梅州	c=3 d=0.000190097 t=63164
mei zhuang 	沒裝	c=1 d=1.96631e-43 t=63164
mei zhuang 	美妝	c=3 d=0.000258659 t=63164
mei zi 	妹子	c=35 d=0.416866 t=63164
mei zuo 	沒做	c=2 d=9.33029e-09 t=63164
men 	們	c=7 d=1.68404e-11 t=63164
men 	門	c=1 d=0.111917 t=63164
men hu 	門戶	c=2 d=8.69802e-07 t=63164
men kan 	門檻	c=8 d=0.0858632 t=63164
men kan di 	門檻低	c=1 d=6.59511e-45 t=63164
men mian 	門面	c=3 d=0.349466 t=63164
men sao 	悶騷	c=1 d=6.67069e-32 t=63164
men shuan 	門閂	c=1 d=4.82386e-42 t=63164
men tan 	門毯	c=1 d=0.000120966 t=63164
men tu 	門徒	c=4 d=8.86863e-59 t=63164
men wai han 	門外漢	c=1 d=2.7121e-32 t=63164
meng 	夢	c=2 d=2.59682e-21 t=63164
meng 	猛	c=2 d=3.61775e-10 t=63164
meng 	萌	c=6 d=0.0563689 t=63164
meng jian 	夢見	c=2 d=3.081e-21 t=63164
meng meng 	萌萌	c=0 d=0.1 t=56272
meng meng da 	萌萌噠	c=1 d=1 t=56273
meng sheng 	萌生	c=1 d=6.5306e-47 t=63164
meng tian 	孟天	c=1 d=0.000104638 t=63164
meng xiang 	夢想	c=1 d=2.36349e-31 t=63164
meng za 	猛雜	c=1 d=3.37202e-06 t=63164
mi 	米	c=0 d=1.60408e-31 t=63164
mi 	迷	c=1 d=1 t=57550
mi bu 	彌補	c=1 d=5.64029e-58 t=63164
mi gong 	迷宮	c=0 d=0.1 t=59372
mi gong ling 	迷宮領	c=1 d=1 t=59373
mi huang 	米黃	c=1 d=2.17873e-44 t=63164
mi ji 	密集	c=1 d=0.778801 t=63164
mi ma 	密碼	c=23 d=1.32445e-06 t=63164
mi mi 	祕密	c=1 d=7.16655e-52 t=63164
mi ni 	迷你	c=1 d=6.5839e-25 t=63164
mi ni ban 	迷你版	c=1 d=6.68432e-56 t=63164
mi qie 	密切	c=1 d=6.15134e-49 t=63164
mian 	免	c=2 d=1.09001e-14 t=63164
mian 	面	c=2 d=0.000110419 t=63164
mian 	麪	c=7 d=5.43628e-07 t=63164
mian de 	免得	c=1 d=3.3592e-20 t=63164
mian dui 	面對	c=1 d=1.20171e-44 t=63164
mian dui mian 	面對面	c=1 d=5.74738e-44 t=63164
mian fei 	免費	c=14 d=0.0220377 t=63164
mian fen 	麪粉	c=1 d=0.786628 t=63164
mian ji 	面積	c=2 d=0.0001441 t=63164
mian lin 	面臨	c=1 d=0.369723 t=63164
mian qian 	面前	c=1 d=4.14333e-47 t=63164
mian qiang 	勉強	c=2 d=2.47319e-06 t=63164
mian shi 	面試	c=13 d=1.94079e-07 t=63164
mian shu 	面熟	c=1 d=2.72375e-53 t=63164
mian tan 	免談	c=1 d=1.13019e-28 t=63164
mian xiang 	面向	c=1 d=1 t=62159
mian yang 	綿陽	c=29 d=8.16048e-06 t=63164
mian yang wu zhong 	綿陽五中	c=1 d=2.51084e-66 t=63164
mian zhong 	綿中	c=1 d=1.00916e-19 t=63164
miao 	喵	c=1 d=0.00197932 t=63164
miao 	瞄	c=2 d=6.39081e-20 t=63164
miao 	秒	c=7 d=0.964946 t=63164
miao dong 	秒懂	c=1 d=6.63742e-32 t=63164
miao mei 	秒沒	c=1 d=0.588605 t=63164
miao shu 	描述	c=10 d=6.8029e-12 t=63164
miao zhao 	妙招	c=1 d=3.53181e-47 t=63164
mie shi 	滅失	c=0 d=6.45552e-59 t=63164
min 	民	c=0 d=0.00293049 t=63164
min fa 	民法	c=13 d=2.06428 t=63164
min jian 	民間	c=3 d=3.09108e-15 t=63164
min jian jie dai 	民間借貸	c=2 d=6.49161e-57 t=63164
min shi su song fa 	民事訴訟法	c=1 d=1.58505e-66 t=63164
ming 	名	c=12 d=0.00228797 t=63164
ming 	命	c=1 d=5.45221e-12 t=63164
ming 	明	c=4 d=2.78463e-19 t=63164
ming bai 	明白	c=2 d=6.94531e-15 t=63164
ming cheng 	名稱	c=6 d=2.19958e-09 t=63164
ming dai 	明代	c=1 d=1 t=56463
ming ling 	命令	c=15 d=0.0401557 t=63164
ming ling hang 	命令行	c=21 d=3.57157e-05 t=63164
ming ling hang de 	命令行的	c=1 d=4.75948e-31 t=63164
ming ming 	命名	c=5 d=6.22155e-10 t=63164
ming ming 	明明	c=2 d=1.08891e-40 t=63164
ming nian 	明年	c=9 d=0.551563 t=63164
ming pai 	名牌	c=2 d=2.90983e-07 t=63164
ming pian 	名片	c=1 d=2.92442e-07 t=63164
ming que 	明確	c=11 d=7.32269e-15 t=63164
ming ri 	明日	c=1 d=0.000767337 t=63164
ming ri xiang 	明日香	c=1 d=0.00771183 t=63164
ming shi 	明示	c=4 d=8.85987e-18 t=63164
ming tang 	名堂	c=3 d=0.985112 t=63164
ming tian 	明天	c=23 d=2.42422e-06 t=63164
ming wan 	明晚	c=3 d=6.1907e-15 t=63164
ming wei 	名爲	c=2 d=1.00063 t=59508
ming wen 	明文	c=3 d=0.686587 t=63164
ming wen gui ding 	明文規定	c=0 d=1.55726e-06 t=63164
ming xia 	名下	c=2 d=2.48728e-14 t=63164
ming xian 	明顯	c=3 d=7.87859e-41 t=63164
ming xin pian 	明信片	c=4 d=6.28012e-19 t=63164
ming xing 	明星	c=2 d=2.64045e-10 t=63164
ming ya 	明呀	c=1 d=1.30206e-17 t=63164
ming yan 	名言	c=2 d=2.87525e-17 t=63164
ming yi 	名義	c=1 d=4.68702e-27 t=63164
ming yun 	命運	c=1 d=2.7028e-21 t=63164
ming zao 	明早	c=1 d=8.6288e-60 t=63164
ming zi 	名字	c=29 d=0.0821695 t=63164
mo 	抹	c=1 d=2.62426e-27 t=63164
mo 	摸	c=2 d=7.81747e-16 t=63164
mo 	末	c=1 d=5.45668e-51 t=63164
mo 	膜	c=1 d=1.52767e-44 t=63164
mo 	莫	c=18 d=1.37497e-05 t=63164
mo bi yao 	莫必要	c=1 d=1.31788e-12 t=63164
mo de 	莫得	c=28 d=6.5541e-07 t=63164
mo de qian 	莫得錢	c=1 d=1.25033e-40 t=63164
mo de ren 	莫得人	c=1 d=1 t=58191
mo de sha 	莫得啥	c=5 d=1.7652e-09 t=63164
mo de shi 	莫得事	c=1 d=4.98703e-51 t=63164
mo de yong 	莫得用	c=1 d=1.23318e-54 t=63164
mo fa 	摸法	c=1 d=2.753e-61 t=63164
mo fa 	莫法	c=7 d=3.69487e-06 t=63164
mo fang 	模仿	c=5 d=0.000401622 t=63164
mo gen 	摩根	c=2 d=1.35566e-21 t=63164
mo guo yu 	莫過於	c=1 d=1.13934e-64 t=63164
mo hu 	模糊	c=2 d=1.00379 t=61232
mo kuai 	模塊	c=7 d=1.1896e-05 t=63164
mo kuai hua 	模塊化	c=1 d=4.45313e-13 t=63164
mo lai tou 	莫來頭	c=2 d=4.64559e-09 t=63164
mo ming qi miao 	莫名其妙	c=1 d=1.0095e-23 t=63164
mo ni 	模擬	c=4 d=0.0407622 t=63164
mo qian 	莫錢	c=2 d=1.16563e-09 t=63164
mo rang 	莫讓	c=1 d=1.52559e-28 t=63164
mo ren 	默認	c=24 d=0.786628 t=63164
mo ren zhi 	默認值	c=2 d=1.34301 t=56904
mo sha qu bie 	莫啥區別	c=1 d=1.33112e-12 t=63164
mo sha yi si 	莫啥意思	c=1 d=6.04945e-29 t=63164
mo shao 	末梢	c=1 d=2.93648e-26 t=63164
mo sheng 	陌生	c=0 d=3.78028e-28 t=63164
mo sheng gan 	陌生感	c=1 d=3.79923e-27 t=63164
mo shi 	模式	c=14 d=0.0141302 t=63164
mo suo 	摸索	c=2 d=1.75634e-38 t=63164
mo te 	模特	c=1 d=1 t=60469
mo tian da lou 	摩天大樓	c=1 d=1 t=55133
mo ting shan 	莫廷山	c=1 d=1 t=59709
mo tou 	摸透	c=1 d=4.3943e-33 t=63164
mo tou 	莫頭	c=1 d=3.6813e-09 t=63164
mo tuo 	摩托	c=1 d=5.26827e-20 t=63164
mo wang 	莫忘	c=1 d=1.05435e-05 t=63164
mo wei 	末尾	c=1 d=1 t=59020
mo xing 	模型	c=2 d=6.94788e-11 t=63164
mo yi si 	莫意思	c=2 d=3.90827e-07 t=63164
mo yong 	莫用	c=2 d=0.000668817 t=63164
mou 	某	c=14 d=0.975779 t=63164
mou bao 	某包	c=1 d=1.86946e-37 t=63164
mou ge 	某個	c=13 d=3.97693e-06 t=63164
mou xie 	某些	c=2 d=3.97964e-14 t=63164
mou xie ren 	某些人	c=1 d=3.44178e-41 t=63164
mou yi 	某一	c=1 d=1.00669e-49 t=63164
mou yi ge 	某一個	c=2 d=4.84654e-09 t=63164
mou zhong 	某種	c=5 d=0.29671 t=63164
mu 	木	c=1 d=1 t=56472
mu 	母	c=4 d=0.617831 t=63164
mu ban 	模板	c=28 d=1.39635e-06 t=63164
mu ban 	母板	c=1 d=2.79128e-47 t=63164
mu ban zhi jia 	模板之家	c=1 d=1.31197e-18 t=63164
mu biao 	目標	c=6 d=3.09776e-08 t=63164
mu ce 	目測	c=1 d=1.30405e-35 t=63164
mu di 	目的	c=10 d=0.229925 t=63164
mu gong si 	母公司	c=1 d=3.99198e-21 t=63164
mu gou 	母狗	c=2 d=1.99501 t=59314
mu guang 	目光	c=1 d=7.34571e-19 t=63164
mu lu 	目錄	c=22 d=6.55301e-07 t=63164
mu ma 	木馬	c=1 d=2.31472e-21 t=63164
mu qian 	目前	c=14 d=0.279431 t=63164
mu qin 	母親	c=1 d=4.17488e-48 t=63164
mu yang 	模樣	c=1 d=2.06221e-15 t=63164
mu ying 	母嬰	c=1 d=1.77273e-59 t=63164
mu you 	木有	c=1 d=3.05632e-27 t=63164
na 	吶	c=1 d=1.68518e-22 t=63164
na 	哪	c=8 d=0.873716 t=63164
na 	拿	c=17 d=0.122675 t=63164
na 	那	c=147 d=0.201157 t=63164
